"Title","Gross domestic product (Average) per head, CVM market prices: SA"
"CDID","IHXW"
"Source dataset ID","PN2"
"PreUnit",""
"Unit","£"
"Release date","15-11-2022"
"Next release","22 December 2022"
"Important notes",
"1946",""
"1947",""
"1948","0"
"1949","0"
"1950","0"
"1951","0"
"1952","0"
"1953","0"
"1954","0"
"1955","10254"
"1956","10377"
"1957","10528"
"1958","10619"
"1959","11002"
"1960","11603"
"1961","11813"
"1962","11828"
"1963","12321"
"1964","12934"
"1965","13119"
"1966","13251"
"1967","13537"
"1968","14207"
"1969","14414"
"1970","14757"
"1971","15205"
"1972","15817"
"1973","16808"
"1974","16387"
"1975","16142"
"1976","16634"
"1977","17039"
"1978","17732"
"1979","18344"
"1980","17905"
"1981","17729"
"1982","18050"
"1983","18739"
"1984","19064"
"1985","19724"
"1986","20185"
"1987","21192"
"1988","22246"
"1989","22663"
"1990","22743"
"1991","22281"
"1992","22232"
"1993","22649"
"1994","23377"
"1995","23804"
"1996","24200"
"1997","25230"
"1998","25955"
"1999","26642"
"2000","27637"
"2001","28125"
"2002","28501"
"2003","29258"
"2004","29787"
"2005","30348"
"2006","30792"
"2007","31328"
"2008","31025"
"2009","29417"
"2010","29893"
"2011","29961"
"2012","30195"
"2013","30552"
"2014","31290"
"2015","31786"
"2016","32208"
"2017","32799"
"2018","33160"
"2019","33510"
"2020","29687"
"2021","31793"
"1946 Q1",""
"1946 Q2",""
"1946 Q3",""
"1946 Q4",""
"1947 Q1",""
"1947 Q2",""
"1947 Q3",""
"1947 Q4",""
"1948 Q1",""
"1948 Q2",""
"1948 Q3",""
"1948 Q4",""
"1949 Q1",""
"1949 Q2",""
"1949 Q3",""
"1949 Q4",""
"1950 Q1",""
"1950 Q2",""
"1950 Q3",""
"1950 Q4",""
"1951 Q1",""
"1951 Q2",""
"1951 Q3",""
"1951 Q4",""
"1952 Q1",""
"1952 Q2",""
"1952 Q3",""
"1952 Q4",""
"1953 Q1",""
"1953 Q2",""
"1953 Q3",""
"1953 Q4",""
"1954 Q1",""
"1954 Q2",""
"1954 Q3",""
"1954 Q4",""
"1955 Q1","2543"
"1955 Q2","2542"
"1955 Q3","2589"
"1955 Q4","2573"
"1956 Q1","2601"
"1956 Q2","2592"
"1956 Q3","2586"
"1956 Q4","2591"
"1957 Q1","2642"
"1957 Q2","2640"
"1957 Q3","2621"
"1957 Q4","2620"
"1958 Q1","2675"
"1958 Q2","2610"
"1958 Q3","2663"
"1958 Q4","2662"
"1959 Q1","2674"
"1959 Q2","2715"
"1959 Q3","2768"
"1959 Q4","2832"
"1960 Q1","2897"
"1960 Q2","2868"
"1960 Q3","2906"
"1960 Q4","2920"
"1961 Q1","2960"
"1961 Q2","2965"
"1961 Q3","2944"
"1961 Q4","2930"
"1962 Q1","2938"
"1962 Q2","2959"
"1962 Q3","2971"
"1962 Q4","2954"
"1963 Q1","2962"
"1963 Q2","3088"
"1963 Q3","3098"
"1963 Q4","3160"
"1964 Q1","3176"
"1964 Q2","3230"
"1964 Q3","3237"
"1964 Q4","3280"
"1965 Q1","3265"
"1965 Q2","3262"
"1965 Q3","3284"
"1965 Q4","3301"
"1966 Q1","3302"
"1966 Q2","3315"
"1966 Q3","3322"
"1966 Q4","3302"
"1967 Q1","3341"
"1967 Q2","3384"
"1967 Q3","3396"
"1967 Q4","3410"
"1968 Q1","3528"
"1968 Q2","3510"
"1968 Q3","3575"
"1968 Q4","3586"
"1969 Q1","3572"
"1969 Q2","3597"
"1969 Q3","3614"
"1969 Q4","3626"
"1970 Q1","3599"
"1970 Q2","3685"
"1970 Q3","3716"
"1970 Q4","3745"
"1971 Q1","3718"
"1971 Q2","3781"
"1971 Q3","3846"
"1971 Q4","3856"
"1972 Q1","3859"
"1972 Q2","3959"
"1972 Q3","3968"
"1972 Q4","4028"
"1973 Q1","4223"
"1973 Q2","4228"
"1973 Q3","4187"
"1973 Q4","4171"
"1974 Q1","4055"
"1974 Q2","4114"
"1974 Q3","4140"
"1974 Q4","4079"
"1975 Q1","4081"
"1975 Q2","4015"
"1975 Q3","4000"
"1975 Q4","4046"
"1976 Q1","4113"
"1976 Q2","4109"
"1976 Q3","4162"
"1976 Q4","4251"
"1977 Q1","4250"
"1977 Q2","4219"
"1977 Q3","4249"
"1977 Q4","4322"
"1978 Q1","4354"
"1978 Q2","4406"
"1978 Q3","4465"
"1978 Q4","4503"
"1979 Q1","4479"
"1979 Q2","4676"
"1979 Q3","4570"
"1979 Q4","4615"
"1980 Q1","4561"
"1980 Q2","4469"
"1980 Q3","4463"
"1980 Q4","4412"
"1981 Q1","4403"
"1981 Q2","4410"
"1981 Q3","4459"
"1981 Q4","4463"
"1982 Q1","4465"
"1982 Q2","4511"
"1982 Q3","4521"
"1982 Q4","4550"
"1983 Q1","4630"
"1983 Q2","4659"
"1983 Q3","4706"
"1983 Q4","4738"
"1984 Q1","4766"
"1984 Q2","4717"
