"Date","Monthly amount of total sterling total repayments of secured lending by individuals (in sterling millions) seasonally adjusted              [a] [b]             LPMB86L"
"30 Nov 22","21586"
"31 Oct 22","25816"
"30 Sep 22","20786"
"31 Aug 22","20851"
"31 Jul 22","21275"
"30 Jun 22","19930"
"31 May 22","22701"
"30 Apr 22","22359"
"31 Mar 22","19400"
"28 Feb 22","22138"
"31 Jan 22","18821"
"31 Dec 21","18589"
"30 Nov 21","19311"
"31 Oct 21","18410"
"30 Sep 21","20872"
"31 Aug 21","17073"
"31 Jul 21","16454"
"30 Jun 21","27192"
"31 May 21","18662"
"30 Apr 21","19178"
"31 Mar 21","23337"
"28 Feb 21","20156"
"31 Jan 21","19294"
"31 Dec 20","18920"
"30 Nov 20","17363"
"31 Oct 20","17586"
"30 Sep 20","16191"
"31 Aug 20","16013"
"31 Jul 20","14117"
"30 Jun 20","14449"
"31 May 20","15224"
"30 Apr 20","13809"
"31 Mar 20","18031"
"29 Feb 20","18591"
"31 Jan 20","18705"
"31 Dec 19","19019"
"30 Nov 19","18839"
"31 Oct 19","18091"
"30 Sep 19","18720"
"31 Aug 19","18312"
"31 Jul 19","16839"
"30 Jun 19","18307"
"31 May 19","19540"
"30 Apr 19","18006"
"31 Mar 19","17838"
"28 Feb 19","19030"
"31 Jan 19","18900"
"31 Dec 18","19211"
"30 Nov 18","18078"
"31 Oct 18","19713"
"30 Sep 18","19323"
"31 Aug 18","18865"
"31 Jul 18","19715"
"30 Jun 18","18717"
"31 May 18","18599"
"30 Apr 18","18835"
"31 Mar 18","18294"
"28 Feb 18","18075"
"31 Jan 18","19608"
"31 Dec 17","18176"
"30 Nov 17","18121"
"31 Oct 17","19650"
"30 Sep 17","17771"
"31 Aug 17","17895"
"31 Jul 17","18095"
"30 Jun 17","17678"
"31 May 17","17822"
"30 Apr 17","17583"
"31 Mar 17","17284"
"28 Feb 17","17431"
"31 Jan 17","18358"
"31 Dec 16","16884"
"30 Nov 16","17122"
"31 Oct 16","17099"
"30 Sep 16","16534"
"31 Aug 16","17419"
"31 Jul 16","16930"
"30 Jun 16","16801"
"31 May 16","16718"
"30 Apr 16","17931"
"31 Mar 16","19535"
"29 Feb 16","16923"
"31 Jan 16","17250"
"31 Dec 15","16277"
"30 Nov 15","16669"
"31 Oct 15","16733"
"30 Sep 15","15956"
"31 Aug 15","15632"
"31 Jul 15","15554"
"30 Jun 15","16747"
"31 May 15","15320"
"30 Apr 15","14526"
"31 Mar 15","15251"
"28 Feb 15","14499"
"31 Jan 15","14355"
"31 Dec 14","14940"
"30 Nov 14","14648"
"31 Oct 14","14745"
"30 Sep 14","15787"
"31 Aug 14","15816"
"31 Jul 14","14529"
"30 Jun 14","15731"
"31 May 14","15148"
"30 Apr 14","15490"
"31 Mar 14","14880"
"28 Feb 14","15552"
"31 Jan 14","15078"
"31 Dec 13","15890"
"30 Nov 13","15192"
"31 Oct 13","14589"
"30 Sep 13","15052"
"31 Aug 13","14066"
"31 Jul 13","13772"
"30 Jun 13","13844"
"31 May 13","13978"
"30 Apr 13","12361"
"31 Mar 13","12715"
"28 Feb 13","12444"
"31 Jan 13","12248"
"31 Dec 12","11868"
"30 Nov 12","11418"
"31 Oct 12","11420"
"30 Sep 12","11084"
"31 Aug 12","11158"
"31 Jul 12","10991"
"30 Jun 12","11380"
"31 May 12","11674"
"30 Apr 12","11116"
"31 Mar 12","11676"
"29 Feb 12","11227"
"31 Jan 12","11478"
"31 Dec 11","11466"
"30 Nov 11","11805"
"31 Oct 11","11252"
"30 Sep 11","11812"
"31 Aug 11","11586"
"31 Jul 11","11480"
"30 Jun 11","10985"
"31 May 11","10757"
"30 Apr 11","11304"
"31 Mar 11","10687"
"28 Feb 11","11219"
"31 Jan 11","10981"
"31 Dec 10","10573"
"30 Nov 10","11235"
"31 Oct 10","10909"
"30 Sep 10","10728"
"31 Aug 10","10986"
"31 Jul 10","11116"
"30 Jun 10","11242"
"31 May 10","11224"
"30 Apr 10","11134"
"31 Mar 10","11100"
"28 Feb 10","10703"
"31 Jan 10","10312"
"31 Dec 09","11742"
"30 Nov 09","10931"
"31 Oct 09","10962"
"30 Sep 09","10688"
"31 Aug 09","10935"
"31 Jul 09","11337"
"30 Jun 09","10828"
"31 May 09","10922"
"30 Apr 09","10438"
"31 Mar 09","11525"
"28 Feb 09","11746"
"31 Jan 09","13871"
"31 Dec 08","11919"
"30 Nov 08","14222"
"31 Oct 08","15397"
"30 Sep 08","15313"
"31 Aug 08","18776"
"31 Jul 08","17540"
"30 Jun 08","19130"
