"Title","RPI: housing: mortgage interest payments (Jan 1987=100)"
"CDID","DOBQ"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","14-12-2022"
"Next release","18 January 2023"
"Important notes",
"1987","100.7"
"1988","111.8"
"1989","164.2"
"1990","210.9"
"1991","200.0"
"1992","181.9"
"1993","144.1"
"1994","150.9"
"1995","174.7"
"1996","160.6"
"1997","180.7"
"1998","218.5"
"1999","189.3"
"2000","234.3"
"2001","222.1"
"2002","195.6"
"2003","206.3"
"2004","252.7"
"2005","291.3"
"2006","315.0"
"2007","389.1"
"2008","387.9"
"2009","223.6"
"2010","224.7"
"2011","231.6"
"2012","237.0"
"2013","243.6"
"2014","243.5"
"2015","242.5"
"2016","235.0"
"2017","224.7"
"2018","232.8"
"2019","240.0"
"2020","226.6"
"2021","221.5"
"1987 Q1","100.8"
"1987 Q2","101.2"
"1987 Q3","100.1"
"1987 Q4","100.6"
"1988 Q1","97.0"
"1988 Q2","99.9"
"1988 Q3","113.2"
"1988 Q4","137.2"
"1989 Q1","150.2"
"1989 Q2","158.9"
"1989 Q3","165.8"
"1989 Q4","181.9"
"1990 Q1","196.5"
"1990 Q2","211.2"
"1990 Q3","218.4"
"1990 Q4","217.5"
"1991 Q1","218.1"
"1991 Q2","205.0"
"1991 Q3","191.3"
"1991 Q4","185.9"
"1992 Q1","187.2"
"1992 Q2","183.3"
"1992 Q3","182.3"
"1992 Q4","174.8"
"1993 Q1","146.3"
"1993 Q2","141.7"
"1993 Q3","143.4"
"1993 Q4","145.2"
"1994 Q1","141.4"
"1994 Q2","150.0"
"1994 Q3","151.6"
"1994 Q4","160.8"
"1995 Q1","165.9"
"1995 Q2","178.8"
"1995 Q3","180.6"
"1995 Q4","173.7"
"1996 Q1","166.9"
"1996 Q2","160.4"
"1996 Q3","157.9"
"1996 Q4","157.0"
"1997 Q1","165.0"
"1997 Q2","169.8"
"1997 Q3","189.3"
"1997 Q4","198.9"
"1998 Q1","205.0"
"1998 Q2","218.6"
"1998 Q3","227.6"
"1998 Q4","222.8"
"1999 Q1","193.9"
"1999 Q2","184.4"
"1999 Q3","185.3"
"1999 Q4","193.6"
"2000 Q1","208.7"
"2000 Q2","239.2"
"2000 Q3","243.1"
"2000 Q4","246.4"
"2001 Q1","245.3"
"2001 Q2","225.1"
"2001 Q3","217.9"
"2001 Q4","200.2"
"2002 Q1","190.0"
"2002 Q2","193.4"
"2002 Q3","197.5"
"2002 Q4","201.5"
"2003 Q1","204.3"
"2003 Q2","205.3"
"2003 Q3","205.0"
"2003 Q4","210.6"
"2004 Q1","225.1"
"2004 Q2","240.6"
"2004 Q3","266.5"
"2004 Q4","278.5"
"2005 Q1","285.1"
"2005 Q2","291.4"
"2005 Q3","294.5"
"2005 Q4","294.0"
"2006 Q1","300.2"
"2006 Q2","306.2"
"2006 Q3","316.8"
"2006 Q4","336.9"
"2007 Q1","362.0"
"2007 Q2","377.9"
"2007 Q3","402.5"
"2007 Q4","413.9"
"2008 Q1","404.5"
"2008 Q2","393.7"
"2008 Q3","395.7"
"2008 Q4","357.9"
"2009 Q1","247.2"
"2009 Q2","213.4"
"2009 Q3","215.5"
"2009 Q4","218.1"
"2010 Q1","220.2"
"2010 Q2","223.3"
"2010 Q3","226.8"
"2010 Q4","228.5"
"2011 Q1","230.3"
"2011 Q2","232.1"
"2011 Q3","232.2"
"2011 Q4","231.7"
"2012 Q1","232.2"
"2012 Q2","234.3"
"2012 Q3","238.7"
"2012 Q4","242.8"
"2013 Q1","242.4"
"2013 Q2","243.6"
"2013 Q3","244.6"
"2013 Q4","244.0"
"2014 Q1","243.3"
"2014 Q2","242.8"
"2014 Q3","244.1"
"2014 Q4","243.9"
"2015 Q1","244.1"
"2015 Q2","243.3"
"2015 Q3","241.9"
"2015 Q4","240.6"
"2016 Q1","240.0"
"2016 Q2","239.0"
"2016 Q3","234.2"
"2016 Q4","226.9"
"2017 Q1","225.0"
"2017 Q2","224.4"
